Numéro;SortieEnSalleLe;VuLe;Titre;Affiche;TitreOriginal;Pays;Réalisateur;Acteurs ;Avis;Comment;Prix;Ou;JeLai;Accompagnants;StyleGenre;Commentaire;Top de l'année
F1298;28/03/2012;20/05/2012;Water - le pouvoir secret de l’eau;Water - le pouvoir secret de l’eau;Water;Russie;Anastaysia Popova, Julia Perkul;des scientifiques;pas mal;LePass_4mars2013;0;Publicis;;alone;documentaire scientifique;la pensée positive peut rendre claire une eau croupie !!! Ensemble interessant;0
F1299;16/05/2012;22/05/2012;Moonrise Kingdom;Moonrise Kingdom;;USA;Wes Anderson;Bruce Willis, Edward Norton, Bill Murray, Frances McDormand, Tilda Swinton, Jared Gilman, Kara Hayward;pas mal;LePass_4mars2013;0;Gaumont Opera Français;;Anne;Comédie amoureuse poético surréaliste;sympa, humour absurde, original;0
F1300;23/05/2012;23/05/2012;Disparue;Disparue;Gone;USA;Heitor Dhalia;Amanda Seyfried, Daniel Sunjata, Jennifer Carpenter, Sebastian Stan, Wes Bentley;moyen;LePass_4mars2013;0;Gaumont Opera Premier;;alone;Action thriller ;tr classiq, le m=échant se fait avoir trop facilement, fin baclée;
F1301;23/05/2012;24/05/2012;Men in Black 3;Men in Black 3;;USA;Barry Sonnenfeld;Will Smith, Tommy Lee Jones, Josh Brolin, Emma Thompson, Lady GaGa;bien;LePass_4mars2013;0;Gaumont Parnasse;;Anne;Comédie SF ;tr bons effets, marrant, ;0
F1302;23/05/2012;26/05/2012;Cosmopolis;Cosmopolis;;Canada;David Cronenberg ;Robert Pattinson, Jay Baruchel, Paul Giamatti, Kevin Durand, Juliette Binoche, Samantha Morton, Sarah Gadon, Mathieu Amalric;moyen;LePass_4mars2013;0;Gaumont Parnasse;;alone;Anticipation;bavard pas captivant;
F1303;23/05/2012;28/05/2012;Sur la route;Sur la route;On The Road;USA;Walter Salles;Sam Riley, Garrett Hedlund, Kristen Stewart, Kirsten Dunst, Tom Sturridge, Viggo Mortensen, Amy Adams, Alice Braga, Steve Buscemi;pas mal;LePass_4mars2013;0;Gaumont Ambassade;;alone;Road movie carpe diem;bien réalisé, genre de films ou tu t pozes la question : mais qes q tateend pour deconner…..et profiter de la vie;0
F1304;30/05/2012;30/05/2012;Prometheus;Prometheus;;USA;Ridley Scott;Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba, Guy Pearce;Tr bien;LePass_4mars2013;2;Max Linder;;alone;SF;topissime, 'j'ai choisis d'y croire', 3D pecable, c vraimnt une prequelle d'Alien, revu avec filles et alx samdi 2 juin;0
F1305;18/05/2011;31/05/2012;La Conquête;La Conquête;;France;Xavier Durringer;Denis Podalydès, Florence Pernel, Bernard Le Coq, Hippolyte Girardot, Samuel Labarthe, Mathias Mlekuz, Grégory Fitoussi, Pierre Cassignard,;pas mal;canal + à la dmde;0;Télé au 4;;alone;biopic;bien fait pour sa gueule, ceci dit excellent jeu d'acteurs;0
F1306;30/05/2012;31/05/2012;Les Femmes du Bus 678;Les Femmes du Bus 678;678;Egypte;Mohamed Diab;Nahed El Sebaï, Bushra Rozza, Nelly Karim, Omar El Saeed, Bassem Samra;pas mal;LePass_4mars2013;0;Gaumont Capucines;;alone;Mœurs locales;"sympa, tjrs le mem sujet egyptien; le machisme";0
F1307;30/05/2012;02/06/2012;7 Jours à la Havane;7 Jours a la Havane.jpg;7 días en La Habana;Espagne;Laurent Cantet,Benicio Del Toro,Julio Medem,Gaspar Noé,Elia Suleiman,Juan Carlos Tabío, Pablo Trapero;Josh Hutcherson, Daniel Brühl, Emir Kusturica;moyen;LePass_4mars2013;0;Gaumont Capucines;;alone;7 sketches se passant à la Havane;2 ou 3 pas trop mal, pas captivant ds l'ensemble;0
F1308;30/08/2011;02/06/2012;Bulletproof Gangster;Bulletproof Gangster.jpg;;USA;Jonathan Hensleigh ;Ray Stevenson, Christopher Walken, Val Kilmer,Vincent D'Onofrio;pas mal;canal + à la dmde;0;Télé au 4;;alone;biopic gangster;la vie de Danny Greene, un gangster irlandais de Cleveland dans les années soixante-dix. ;
F1309;30/05/2012;03/06/2012;Peace, Love et plus si affinités;Peace, Love et plus si affinités;Wanderlust;USA;David Wain;Paul Rudd, Jennifer Aniston, Justin Theroux, Alan Alda;moyen;LePass_4mars2013;0;Publicis;;alone;comédie loufoque;peu de bons gags, mais pas null pour une comédie américaine;0
