Numéro;SortieEnSalleLe;VuLe;Titre;Affiche;TitreOriginal;Pays;Réalisateur;Acteurs ;Avis;Comment;Prix;Ou;JeLai;Accompagnants;StyleGenre;Commentaire;Top de l'année
F0380;26/03/1997;26/03/1997;Les 101 Dalmatiens;;101 Dalmatians;USA;Stephen Herek;Glenn Close, Jeff Daniels;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella, Kand, les gars;;;
F0381;02/04/1997;02/04/1997;Le Pic de Dante;LE PIC DE DANTE;Dante's Peak;USA;Roger Donaldson;Pierce Brosnan, Linda Hamilton;pas mal;Ciné Plein Tarif ;;Grand Rex;;Kand, les gars;;;
F0382;07/05/1997;07/05/1997;Le Cinquième élément;LE CINQUIEME ELEMENT;The Fifth Element;USA;Luc Besson;Bruce Willis, Gary Oldman, Ian Holm,  Milla Jovovich,  Chris Tucker ;Tr bien;Ciné Plein Tarif ;;Géant Italie;;C. Biltz, John, Nicolas Duval;;;
F0383;09/05/1996;09/05/1997;Ridicule;;;France;Patrice Leconte;Charles Berling, Jean Rochefort, Fanny Ardant;pas mal;canal +;0;Télé Puteaux;;;;;
F0384;18/06/1997;18/06/1997;James et la Pêche Géante;JAMES ET LA PECHE GEANTE.jpg;James and the Giant Peach;USA;Henry Selick;Animation Walt Disney;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella, Kand, les gars;;;
F0385;18/06/1997;18/06/1997;Le Saint;LE SAINT;The Saint;USA;Phillip Noyce;Val Kilmer, Elisabeth Shue;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0386;09/07/1997;09/07/1997;Batman et Robin;Batman et Robin;Batman & Robin;USA;Joel Schumacher;George Clooney, Arnold Schwarzenegger,  Chris O'Donnell,  Uma Thurman ;mauvais;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Kand, les gars;;;
F0387;06/08/1997;06/08/1997;Men In Black;;;USA;Barry Sonnenfeld;Will Smith, Tommy Lee Jones;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Kand, les gars;;;
F0388;10/09/1997;10/09/1997;Volte face;Volte face;Face/Off;USA;John Woo;John Travolta, Nicolas Cage;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0389;17/09/1997;17/09/1997;Contact;CONTACT;;USA;Robert Zemeckis;Jodie Foster, John Hurt, Matthew McConaughey;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0390;08/10/1997;08/10/1997;Breakdown (point de rupture);BREAKDOWN;Breakdown;USA;Jonathan Mostow;Kurt Russell, J.T. Walsh, Rex Linn;bien;canal +;0;Télé Puteaux;;;;;
F0391;08/10/1997;08/10/1997;L.A. Confidential;L.A. CONFIDENTIAL;L.A. Confidential;USA;Curtis Hanson;Kevin Spacey,  James Cromwell,  Russell Crowe,  Guy Pearce,  Kim Basinger,  Danny DeVito ;bien;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0392;22/10/1997;22/10/1997;Le Monde perdu : Jurassic park II;LE MONDE PERDU;The Lost World : Jurassic Park;USA;Steven Spielberg;Jeff Goldblum, Richard Attenborough;bien;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella, Kand, les gars;;;
F0393;29/10/1997;29/10/1997;Bean;Bean;;Angleterre;Mel Smith;Rowan Atkinson, Peter MacNicol, Burt Reynolds;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0394;12/11/1997;12/11/1997;Alien 4 - Resurrection;ALIEN 4.jpg;Alien Resurrection;USA;Jean-Pierre Jeunet;Sigourney Weaver, Winona Ryder;Tr bien;Ciné Plein Tarif ;;Max Linder;;Nella;;revu 14 juin 2011 : tjrs aussi bon;
F0395;27/11/1996;27/11/1997;Bernie;Bernie;;France;Albert Dupontel;Albert Dupontel, Roland Blanche;pas mal;canal +;0;Télé Puteaux;;;;;
F0396;10/12/1997;10/12/1997;Spawn;SPAWN;;USA;Mark A.Z. Dippe; Michael Jai White, Martin Sheen, John Leguizamo;pas mal;canal +;0;Télé Puteaux;;;;;
F0397;18/12/1996;18/12/1997;Daylight;Daylight;;USA;Rob Cohen;Sylvester Stallone, Dan Hedaya, Jay O. Sanders;moyen;canal +;0;Télé Puteaux;;;;;
F0398;07/01/1998;07/01/1998;Titanic;;;USA;James Cameron;Leonardo DiCaprio, Kate Winslet, Billy Zane;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0399;21/01/1998;21/01/1998;STARSHIP TROOPERS;starshiptroopers.jpg;STARSHIP TROOPERS;USA;Paul Verhoeven;Casper Van Dien, Dina Meyer, Denise Richards;Tr bien;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0400;04/02/1998;04/02/1998;Anastasia;Anastasia;;USA;Gary Goldman / Don Bluth;Animation USA;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella Kand;;;
F0401;11/02/1998;11/02/1998;Les Visiteurs 2 : Les couloirs du temps;LES VISITEURS 2;;France;Jean-Marie Poiré;Jean Reno, Christian Clavier, Muriel Robin,;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0402;01/04/1998;01/04/1998;Jackie Brown;JACKIE BROWN;;USA;Quentin Tarantino;Pam Grier, Samuel Lee JACKSON,  Robert De Niro,  Bridget Fonda ;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0403;15/04/1998;15/04/1998;Le Dîner de cons;LE DINER DE CONS;;France;Francis Vebe;Thierry Lhermitte, Jacques Villeret, Francis Huster;mauvais;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0404;22/04/1998;22/04/1998;The Big Lebowski;THE BIG LEBOWSKI;The Big Lebowski;USA;Joel et Ethan Coen;Jeff Bridges, John Goodman, Steve Buscemi,  John Turturro ;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0405;29/04/1998;29/04/1998;Bienvenue à Gattaca;BIENVENUE A GATTACA;Gattaca;USA;Andrew Niccol;Ethan Hawke, Uma Thurman, Jude Law;bien;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0406;06/05/1998;06/05/1998;Pluie d'enfer;PLUIE D'ENFER;Hard Rain;USA;Mikael Salomon;Morgan Freeman,  Randy Quaid, Christian Slater ;mauvais;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Francky;;;
F0407;20/05/1998;20/05/1998;Blues brothers 2000;Blues brothers 2000;;USA;John Landis;John Goodman,  Joe Morton, James Brown,  Aretha Franklin ;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0408;20/05/1998;20/05/1998;Dark City;Dark City;;USA;Alex Proyas;William Hurt,  Richard O'Brien,  Jennifer Connelly,  Kiefer Sutherland ;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0409;21/05/1997;21/05/1998;Les Pleins pouvoirs;LES PLEINS POUVOIRS;Absolute Power;USA;Clint Eastwood;Clint Eastwood, Scott Glenn, Ed Harris;moyen;canal +;0;Télé Puteaux;;;;;
F0410;01/06/1978;01/06/1998;Capricorne One;Capricorne One;Capricorn One;USA;Peter Hyams;Elliott Gould, James Brolin, Brenda Vaccaro, O.J. Simpson, Telly Savalas,;pas mal;DVD bibliotek;0;Télé Puteaux;;;Thriller ;les révisionistes de 'ils ont pas marché sur la lune' ont adoré;
F0411;25/06/1997;25/06/1998;Anaconda;Anaconda;;USA;Luis Llosa;Jon Voight, Jennifer Lopez;pas mal;canal +;0;Télé Puteaux;;;;;
F0412;07/07/1993;07/07/1998;RoboCop 3;ROBOCOP 3;;USA;Fred Dekker;Robert John Burke, Mario Machado;passable;download Emule;0;Télé Puteaux;;alone;SF;suite ratée juste pr le business;
F0413;05/08/1998;05/08/1998;Armageddon;Armageddon;;USA;Michael Bay;Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0414;26/08/1998;26/08/1998;La Mutante 2;LA MUTANTE 2;Species II;USA;Peter Medak;Michael Madsen, George Dzundza,  James Cromwell,  Natasha Henstridge ;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0415;16/09/1998;16/09/1998;GODZILLA;GODZILLA;GODZILLA;USA;Roland Emmerich;Matthew Broderick, Jean Reno, Maria Pitillo;bien;Ciné Plein Tarif ;;Singapour;;alone;;;
F0416;07/10/1998;07/10/1998;Le Petit monde des borrowers;LE PETIT MONDE DES BORROWERS;The Borrowers;USA;Peter Hewitt;John Goodman, Jim Broadbent;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella, Kand, les gars;;;
F0417;21/10/1998;21/10/1998;Small soldiers;SMALL SOLDIERS;;USA;Joe Dante;Animation USA;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella, Kand, les gars;;;
F0418;28/10/1998;28/10/1998;The Truman Show;THE TRUMAN SHOW;The Truman Show;USA;Peter Weir;Jim Carrey, Ed Harris;bien;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0419;11/11/1998;11/11/1998;Fourmiz;Fourmiz.jpg;Antz;USA;Tim Johnson / Eric Darnell;Animation USA;Tr bien;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella, Kand, les gars;;;
F0420;11/11/1998;11/11/1998;Mary à tout prix;MARY A TOUT PRIX;There's Something about Mary;USA;Bobby Farrelly, Peter Farrelly;Matt Dillon, Chris Elliott, Cameron Diaz;mauvais;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0421;18/11/1998;18/11/1998;Blade;Blade;;USA;Stephen Norrington;Wesley Snipes, Stephen Dorff;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Les gars;;;
F0422;25/11/1998;25/11/1998;Mulan;;;USA;Tony Bancroft, Barry Cook;Animation Walt Disney;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0423;02/12/1998;02/12/1998;Hors d'atteinte;HORS D'ATTEINTE;Out of Sight;USA;Steven Soderbergh;George Clooney, Jennifer Lopez, Ving Rhames;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0424;09/12/1998;09/12/1998;Kirikou et la sorcière;KIRIKOU ET LA SORCIERE;;France;Michel Ocelot;Animation France;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella Kand les gars;;;
F0425;16/12/1998;16/12/1998;Le Prince d'Egypte;LE PRINCE D'EGYPTE;The Prince of Egypt;USA;S. Hickner / B. Chapman /S. Wells;Animation USA;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella, Kand, les gars;;;
F0426;14/01/1998;14/01/1999;U-turn, ici commence l'enfer;UTURN;U-turn;USA;Oliver Stone;Sean Penn, Nick Nolte, Jennifer Lopez,;bien;DVD bibliotek;0;Télé Puteaux;;;;;
F0427;15/01/1997;15/01/1999;Lost highway;LOST HIGHWAY;;USA;David Lynch;Bill Pullman, Patricia Arquette;moyen;DVD bibliotek;0;Télé Puteaux;;;;;
F0428;20/01/1999;20/01/1999;Vous avez un message;Vous avez un message;You've Got Mail ;USA;Nora Ephron;Tom Hanks, Meg Ryan, Parker Posey;chiant;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0429;29/01/1997;29/01/1999;Relic;RELIC;The Relic;USA;Peter Hyams;Penelope Ann Miller, Tom Sizemore;pas mal;canal +;0;Télé Puteaux;;;;;
F0430;03/02/1999;03/02/1999;Buffalo '66;Buffalo '66;;USA;Vincent Gallo;Vincent Gallo, Christina Ricci, Ben Gazzara;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0431;03/02/1999;03/02/1999;Vénus beauté (institut);VENUS BEAUTE (INSTITUT);;France;Tonie Marshall;Nathalie Baye, Mathilde Seigner, Audrey Tautou;moyen;canal +;0;Télé Puteaux;;;;;
F0432;10/02/1999;10/02/1999;1001 pattes;1001 pattes;A Bug's Life;USA;John Lasseter, Andrew Stanton;Animation Walt Disney;bien;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella, les filles;;;
F0433;10/02/1999;10/02/1999;Pi;PI;;USA;Darren Aronofsky;Sean Gullette, Mark Margolis, Ben Shenkman;chiant;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0434;24/02/1999;24/02/1999;La Ligne rouge;LA LIGNE ROUGE.jpg;The Thin Red Line;USA;Terrence Malick;Sean Penn, Jim Caviezel, Ben Chaplin;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0435;25/02/1998;25/02/1999;Amistad;Amistad.jpg;;USA;Steven Spielberg;Anthony Hopkins, Nigel Hawthorne, Morgan Freeman,;bien;canal +;0;Télé Puteaux;;;;;
F0436;11/03/1998;11/03/1999;Minuit dans le jardin du bien et du mal;MINUIT DANS LE JARDIN DU BIEN ET DU MAL;Midnight in the Garden of Good and Evil;USA;Clint Eastwood;John Cusack, Kevin Spacey, Jack Thompson,;pas mal;canal +;0;Télé Puteaux;;;;;
F0437;12/03/1997;12/03/1999;Les Randonneurs;LES RANDONNEURS;;France;Philippe Harel;Benoît Poelvoorde, Karin Viard;pas mal;canal +;0;Télé Puteaux;;;;;
F0438;17/03/1999;17/03/1999;Babe (le cochon dans la ville);BABE LE COCHON DANS LA VILLE;Babe, Pig in the City;Australie;George Miller;Animation Australienne;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0439;17/03/1993;17/03/1999;Fortress;Fortress;;USA;Stuart Gordon ;Christophe Lambert, Kurtwood Smith;passable;diffusion chaines;0;Télé Puteaux;;alone;action de daube;aurait du s'arreter à Greystoke;
F0440;17/03/1999;17/03/1999;Suicide kings;SUICIDE KINGS;;USA;Peter O'Fallon;Christopher Walken, Henry Thomas, Denis Leary;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0441;18/03/1998;18/03/1999;Le Témoin du mal;FALLEN LE TEMOIN DU MAL;Fallen ;USA;Gregory Hoblit;Denzel Washington, John Goodman, Donald Sutherland;bien;canal +;0;Télé Puteaux;;;;;
F0442;24/03/1999;24/03/1999;Un plan simple;Un plan simple;A Simple Plan;USA;Sam Raimi;Bill Paxton, Billy Bob Thornton, Bridget Fonda,;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0443;08/04/1998;08/04/1999;Taxi;TAXI;;France;Gérard Pires;Frédéric Diefenthal, Samy Naceri, Marion Cotillard, Emma Sjoberg, Bernard Farcy ;moyen;canal +;0;Télé Puteaux;;;;;
F0444;15/04/1998;15/04/1999;Vampires;Vampires;John Carpenter's Vampires;USA;John Carpenter;James Woods, Daniel Baldwin, Sheryl Lee;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0445;28/04/1999;28/04/1999;Cube;Cube;;USA;Vincenzo Natali;Maurice Dean Wint, Nicole de Boer, Nicky Guadagni;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0446;19/05/1999;19/05/1999;Tout sur ma mère;TOUT SUR MA MERE;Todo sobre mi madre;Espagne;Pedro Almodovar;Cecilia Roth, Marisa Paredes, Candela Pena;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0447;27/05/1998;27/05/1999;DEEP IMPACT;DEEP IMPACT;DEEP IMPACT;USA;Mimi Leder;Robert Duvall, Vanessa Redgrave, Maximilian Schell,;bien;canal +;0;Télé Puteaux;;;;;
F0448;02/06/1999;02/06/1999;The Faculty;THE FACULTY;;USA;Robert Rodriguez;Josh Hartnett, Elijah Wood, Jordana Brewster;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0449;16/06/1999;16/06/1999;Another day in paradise;Another day in paradise;;USA;Larry Clark;Melanie Griffith, James Woods, Vincent Kartheiser;moyen;Ciné Plein Tarif ;;Paris de 1982 à 1999;;;;;
F0450;23/06/1999;23/06/1999;Matrix;Matrix.jpg;The Matrix;USA;Andy Wachowski, Larry Wachowski;Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss;bien;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Nella;;;
F0451;24/06/1998;24/06/1999;Sexcrimes;SEXCRIMES;Wild Things;USA;John Mc Naughton;Denise Richards, Neve Campbell, Kevin Bacon, Matt Dillon ;moyen;DVD bibliotek;0;Télé Puteaux;;;;;
F0452;25/06/1997;25/06/1999;Les Virtuoses;LES VIRTUOSES;Brassed Off;Angleterre;Mark Herman;Pete Postlethwaite, Philip Jackson;pas mal;canal +;0;Télé Puteaux;;;;;
F0453;14/07/1999;14/07/1999;eXistenZ;eXistenZ;;USA;David Cronenberg;Jennifer Jason Leigh, Jude Law, Ian Holm;chiant;Ciné Plein Tarif ;;UGC La Defense;;;;;
F0454;18/08/1999;18/08/1999;Le 13ème guerrier;LE 13EME GUERRIER;The 13th Warrior;USA;John McTiernan;Antonio Banderas, Dennis Storhoi, Vladimir Kulich;mauvais;Ciné Plein Tarif ;;Grand Rex;;Lou Papa, La Mama, les garçons;;;
F0455;20/08/1997;20/08/1999;Les Ailes de l'enfer;LES AILES DE L'ENFER;Con Air;USA;Simon West;Nicolas Cage, John Malkovich, John Cusack;bien;canal +;0;Télé Puteaux;;;;;
F0456;25/08/1999;25/08/1999;La Neuvième porte;LA NEUVIEME PORTE.jpg;The Ninth Gate;France;Roman Polanski;Johnny Depp, Emmanuelle Seigner, Lena Olin;mauvais;Ciné Plein Tarif ;;UGC La Defense;;;;;
F0457;10/09/1997;10/09/1999;The Arrival;THE ARRIVAL;;USA;David Twohy;Charlie Sheen, Ron Silver;moyen;canal +;0;Télé Puteaux;;;Méchants aliens;ne restera pas ds les annales;
F0458;15/09/1999;15/09/1999;Eyes wide shut;Eyes wide shut;;USA;Stanley Kubrick;Tom Cruise, Nicole Kidman, Sydney Pollack;chiant;Ciné Plein Tarif ;;UGC La Defense;;Nella;;;
F0459;15/09/1999;15/09/1999;Les Convoyeurs attendent;LES CONVOYEURS ATTENDENT;;France;Benoît Mariage;Benoît Poelvoorde, Dominique Bayens, Bouli Lanners;pas mal;Ciné Plein Tarif ;;UGC La Defense;;;;;
F0460;06/10/1999;06/10/1999;Ghost Dog, la voix du samouraï;GHOST DOG LA VOIE DU SAMOURAI;Ghost Dog: The Way of the Samurai;USA;Jim Jarmusch;Forest Whitaker, John Tormey;moyen;Ciné Plein Tarif ;;UGC La Defense;;;;;
F0461;13/10/1999;13/10/1999;Star Wars épisode 1 - La Menace Fantôme;Star Wars épisode 1 - La Menace Fantôme;Star Wars : Episode I - The Phantom Menace;USA;George Lucas;Liam Neeson, Ewan McGregor, Natalie Portman;pas mal;Ciné Plein Tarif ;;UGC La Defense;;les filles, les gars;;;
F0462;27/10/1999;27/10/1999;Jeanne d'Arc;JEANNE D'ARC;The Messenger: The Story of Joan of Arc;France;Luc Besson;Milla Jovovich, John Malkovich, Faye Dunaway;moyen;Ciné Plein Tarif ;;UGC La Defense;;les filles, les gars;;;
F0463;04/11/1992;04/11/1999;C'est arrivé près de chez vous;C'EST ARRIVE PRES DE CHEZ VOUS;;Belgique;Remy Belvaux, André Bonzel, Benoît Poelvoorde;Benoît Poelvoorde, Jacqueline Poelvoorde Pappaert;pas mal;Ciné Plein Tarif ;;Paris de 1982 à 1999;;Thierry 'Jaime-pas-le-marron' Brancard ;;;
F0464;04/11/1998;04/11/1999;Negociateur;NEGOCIATEUR;The Negotiator;USA;F. Gary Gray;Samuel Lee JACKSON, Kevin Spacey;moyen;canal +;0;Télé Puteaux;;;;;
F0465;10/11/1999;10/11/1999;Cure;Cure.jpg;Kyua;Japon;Kiyoshi Kurosawa;Koji Yakusho, Masato Hagiwara, Tsuyoshi Ujiki;Tr bien;Ciné Plein Tarif ;;UGC La Defense;;Nella;;;
F0466;17/11/1999;17/11/1999;Intrusion;INTRUSION;The Astronaut's Wife;USA;Rand Ravich;Johnny Depp, Charlize Theron, Clea DuVall;moyen;Ciné Plein Tarif ;;UGC La Defense;;;;;
F0467;29/11/1999;29/11/1999;Dinosaure;Dinosaure;Dinosaur;USA;Eric Leighton, Ralph Zondag;Animation USA;pas mal;Ciné Plein Tarif ;;UGC La Defense;;;;;
F0468;02/07/1980;01/12/1999;Nimitz, retour vers l'enfer;NIMITZ RETOUR VERS L'ENFER;The Final Countdown;USA;Don Taylor;Kirk Douglas, Martin Sheen;pas mal;DVD bibliotek;0;Télé Puteaux;;;saut dans le temps;;
F0469;08/12/1999;08/12/1999;Dans la peau de John Malkovich;Dans la peau de John Malkovich;Being John Malkovich;USA;Spike Jonze;John Cusack, Cameron Diaz;pas mal;Ciné Plein Tarif ;;UGC La Defense;;;;;
F0470;08/12/1999;08/12/1999;Le Géant de fer;LE GEANT DE FER;The Iron Giant;USA;Brad Bird;Animation USA;bien;Ciné Plein Tarif ;;UGC La Defense;;;;;
F0471;08/12/1999;08/12/1999;Romeo doit mourir;ROMEO DOIT MOURIR;Romeo Must Die;USA;Andrezj Bartowiak;Russell Wong, Jet Li;moyen;canal +;0;Télé Puteaux;;;;;
F0472;09/12/1998;09/12/1999;Perdus dans l'espace;PERDUS DANS L'ESPACE;Lost in Space;USA;Stephen Hopkins;William Hurt, Mimi Rogers;mauvais;canal +;0;Télé Puteaux;;;;;
F0473;15/12/1999;15/12/1999;La Fin des Temps;LA FIN DES TEMPS;End of Days;USA;Peter Hyams;Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney,;moyen;Ciné Plein Tarif ;;UGC La Defense;;Les gars;;;
F0474;30/12/1998;30/12/1999;Rencontre avec joe black;RENCONTRE AVEC JOE BLACK;Meet Joe Black;USA;Martin Brest;Brad Pitt, Anthony Hopkins;moyen;canal +;0;Télé Puteaux;;;;;
F0475;03/02/1999;03/02/2000;Affliction;Affliction;;USA;Paul Schrader;Nick Nolte, Brigid Tierney, Holmes Osborne, Sissi Spacek;bien;DVD bibliotek;0;Télé Puteaux;;;;;
F0476;09/02/2000;09/02/2000;Sleepy Hollow, la légende du cavalier sans tête;SLEEPY HOLLOW;Sleepy Hollow;USA;Tim Burton;Johnny Depp, Christina Ricci;mauvais;Ciné Plein Tarif ;;UGC La Defense;;;;;
F0477;03/03/1999;03/03/2000;American History X;American History X.jpg;;USA;Tony Kaye;Edward Norton, Edward Furlong, Elliott Gould;bien;DVD bibliotek;0;Télé Puteaux;;;;;
F0478;02/06/1999;24/03/2000;Judas kiss;JUDAS KISS;;USA;Sebastian Guttiere;Carla Gugino, Simon Baker, Til Schweiger;bien;DVD bibliotek;0;Télé Puteaux;;;;;
F0479;08/12/1999;24/03/2000;Le Créateur;LE CREATEUR;;France;Albert Dupontel;Albert Dupontel, Philippe Uchan, Michel Vuillermoz;pas mal;canal +;0;Télé Puteaux;;;;;
F0480;24/03/1999;24/03/2000;The Hole;THE HOLE;DONG;Taiwan;Ming-Liang Tsai;Lee Kang-sheng, Tien Miao, Hslang-Chu Tong;moyen;canal +;0;Télé Puteaux;;;huis-clos à 2 ds le désespoir;trop lent, pas vraiment interessant;
F0481;20/06/2000;20/06/2000;Gladiator;GLADIATOR;Gladiator;USA;Ridley Scott;Russell Crowe, Joaquin Phoenix,  Connie Nielsen,  Oliver Reed,  Richard Harris ;bien;Ciné Plein Tarif ;;UGC La Defense;;alone;;;
F0482;14/07/2000;15/07/2000;X-Men;X-MEN.jpg;;USA;Bryan Singer;Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen, Halle Berry;passable;Ciné Plein Tarif ;;UGC La Defense;;;;;
F0483;31/07/1996;31/07/2000;Rock;ROCK;The Rock;USA;Michael Bay;Nicolas Cage, Sean Connery, Ed Harris;moyen;DVD bibliotek;0;Télé St Cloud;;;Pimpampoum armée us;le trop est l'ennemi du bien……revu le 14/3/2011 pas pu passer les 30 minutes….;
F0484;04/08/1999;04/08/2000;L'Anglais;L'ANGLAIS;The Limey;USA;Steven Soderbergh;Terence Stamp, Lesley Ann Warren, Luis Guzmán;pas mal;diffusion chaines;0;Télé Puteaux;;;;;
F0485;09/08/2000;09/08/2000;En pleine tempête;EN PLEINE TEMPETE.jpg;The Perfect Storm;USA;Wolfgang Petersen;George Clooney, Mark Wahlberg;moyen;canal +;0;Télé Puteaux;;;;;
F0486;15/08/2000;15/08/2000;Harry, Un Ami Qui Vous Veut Du Bien;HARRY, UN AMI QUI VOUS VEUT DU BIEN;;France;Dominik Moll;Sergi López, Laurent Lucas, Mathilde Seigner;pas mal;Ciné Plein Tarif ;;UGC La Defense;;Nella;;;
F0487;30/08/2000;30/08/2000;O'Brother;O'BROTHER;O Brother, Where Art Thou?) ;USA;Joel et Ethan Coen;George Clooney, John Turturro, Tim Blake Nelson;moyen;Ciné Plein Tarif ;;UGC La Defense;;Nella;;;
F0488;22/09/1999;22/09/2000;La Maladie de Sachs;LA MALADIE DE SACHS.jpg;;France;Michel Deville;Albert Dupontel, Valérie Dréville, Dominique Reymond;moyen;canal +;0;Télé Puteaux;;;;;
F0489;04/10/2000;04/10/2000;Tigre et dragon;TIGRE ET DRAGON;Wo hu cang long;Chine;Ang Lee;Chang Chen, Zhang Ziyi,  Michelle Yeoh, Chow Yun-Fat ;moyen;Ciné Plein Tarif ;;UGC La Defense;;Nella;;;
F0490;18/10/2000;18/10/2000;The Cell;THE CELL;;USA;Tarsem Singh;Jennifer Lopez, Vincent D'Onofrio;mauvais;Ciné Plein Tarif ;;UGC Chatelet;;Tonton;;;
F0491;18/10/2000;18/10/2000;Titan A.E.;TITAN AE;Titan A.E.;USA;Don Bluth et Gary Goldman;Animation USA;pas mal;Ciné Plein Tarif ;;UGC La Defense;;;Animation;pas mal;
F0492;25/10/2000;25/10/2000;La Route d'Eldorado;LA ROUTE DEL DORADO.jpg;The Road to el Dorado;USA;Don Paul / Eric Bergeron;Animation Walt Disney;chiant;Ciné Plein Tarif ;;UGC La Defense;;Nella, les filles;;;
F0493;08/11/2000;08/11/2000;In the Mood for Love;IN THE MOOD FOR LOVE;Fa yeung nin wa;Hong-Kong;Kar-Wai Wong;Tony Leung Chiu Wai, Maggie Cheung;bien;Ciné Plein Tarif ;;UGC La Defense;;Nella;;;
F0494;10/11/1999;10/11/2000;Fight Club;Fight Club;;USA;David Fincher;Brad Pitt, Edward Norton;moyen;DVD bibliotek;0;Télé Puteaux;;;;;
F0495;10/11/1999;10/11/2000;L'ombre d'un soupcon;L'OMBRE D'UN SOUPCON;Random Hearts;USA;Sydney Pollack;Harrison Ford, Kristin Scott Thomas, Charles S. Dutton;pas mal;canal +;0;Télé Puteaux;;;;;
F0496;24/11/1999;24/11/2000;Holy Smoke;HOLY SMOKE;;Australie;Jane Campion;Harvey Keitel, Kate Winslet;bien;canal +;0;Télé Puteaux;;;;;
F0497;29/11/1999;29/11/2000;Planète rouge;PLANETE ROUGE;Red Planet;USA;Anthony Hoffman;Val Kilmer, Carrie-Anne Moss;chiant;canal +;0;Télé Puteaux;;;;;
F0498;13/12/2000;13/12/2000;Aniki, mon frère;ANIKI MON FRERE.jpg;Brother;Japon;Takeshi Kitano;Takeshi Kitano, Omar Epps;bien;Ciné Plein Tarif ;;UGC La Defense;;alone;;;
F0499;13/12/2000;13/12/2000;Chicken run;Chicken run;;Angleterre;Nick Park / Peter Lord;Animation Anglaise;pas mal;Ciné Plein Tarif ;;UGC La Defense;;Nella;;;
F0500;20/12/2000;20/12/2000;A l'aube du 6ème jour;A L'AUBE DU 6EME JOUR.jpg;The 6th Day;USA;Roger Spottiswoode;Arnold Schwarzenegger, Wendy Crewson;mauvais;Ciné Plein Tarif ;;UGC La Defense;;;anticipation clone;merdique;
